Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Argentina,ARG,412766570325.764,398792535409.293,395646066535.875,378202665751.853,336999433710.193,366780211148.674,399898899166.738,435296589745.339,470325565798.353,512690850741.56,533491913656.279,501917060966.235,552738161802.463,585924294024.785,579910247223.428,593858966307.156,578937574935.696,594749285413.212,582376550428.09,598790850843.677,583118120294.002,571450737224.442,514630046744.607,568142562825.363
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Brazil,BRA,1131255747038.65,1136549317651.98,1186420527155.95,1202910543363.1,1239640958003.7,1253783141526.78,1326000607099.75,1368460897672.78,1422679163956.12,1509033948357.92,1585907087042.63,1583911825584.01,1703152284574.41,1770842762050.66,1804863767940.85,1859096723592.52,1868465748247.72,1802214373741.32,1743175328356.73,1766235255333.29,1797739006514.93,1819685405632.83,1749105698451.8,1829904265254.51
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bolivia,BOL,16838807348.2396,16910689762.1471,17334777867.8778,17626660706.3223,18064782945.5637,18554580602.0356,19328918095.8879,20183533283.647,21151739156.1698,22117185810.8083,23477060510.312,24265185331.7026,25266542216.5478,26581436430.6683,27943010858.0135,29842021069.2817,31471565371.8699,33000198248.3362,34407300577.8681,35850757819.7381,37364958855.9519,38193230057.6737,34855949753.6257,36984185806.4194
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Chile,CHL,125394825678.282,125051706063.516,131268803553.652,135409067462.838,139745947904.522,146346491776.997,156114028604.48,165226475828.174,175222662457.306,184278574391.665,191261613433.311,189123237376.132,200190069229.347,212649692512.184,225739004134.721,233207597703.441,237388192470.92,242496649874.236,246747710111.593,250097792355.986,260076767994.429,262080762440.351,246412987238.941,275165008283.959
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Uruguay,URY,34808168940.1149,34133164697.5803,33474418294.4582,32187618155.4394,29698869200.2434,29938029416.9209,31436176409.8546,33781356709.0888,35165911748.4727,37466293678.0781,40154929114.1067,41858901192.1605,45125322733.7231,47454751923.1645,49133785850.974,51412384155.7392,53077523938.4551,53274304222.136,54174532436.9212,55056360541.1392,55319478843.3587,55513344382.0673,52115108173.4899,54390979802.7041
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,Argentina,ARG,314355009306.036,310272627208.082,308829967824.856,292902847021.985,255321675083.125,273115447949.17,295918203245.756,318867854089.059,350339486290.806,382307537908.661,408810156695.797,392949345623.007,433505028659.395,471108934593.607,477583769075.096,496099339926.49,479669494720.951,499614480942.488,495916395302.588,515354487027.184,504064138330.98,472966405124.2,416701315425.136,456367469658.226
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,Brazil,BRA,925940489786.839,932333729317.478,960794976901.299,972195815171.74,990645590688.792,990382649114.233,1029129449684.65,1068812157321.83,1120911807972.23,1186189120771.01,1250268896380.26,1301455371378.21,1375292729543.24,1432932380527.73,1478934591070.25,1523546842348.1,1552699403466.46,1509203462532.69,1465720941267.74,1485363959530.22,1514920347529.91,1543247936414.65,1462632488851.58,1509306342982.91
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,Bolivia,BOL,14868127711.8495,15287606796.5263,15635167661.6215,15866462340.0365,16220826273.3872,16563461072.0866,17050871256.5302,17619179289.3097,18317170284.0307,19070893203.3843,20075730936.0502,20817103888.1064,21619675041.4822,22803503720.1033,23862387762.479,25385942595.9076,26807982135.5785,28352112490.7033,29239703372.4412,30631666182.9079,31986495072.6028,33166096692.8149,30805440514.9694,32450522480.0192
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,Chile,CHL,85742104125.4313,85253977922.9888,88433197810.9031,90219204710.807,92515767148.1018,95671037162.4505,103369050519.084,110878359978.042,118657323762.318,126402531831.97,129736464116.283,131185490927.919,144252182498.889,155810677702.811,164928432080.292,173065028082.254,177698371666.113,182763695454.214,190214135136.785,197369480798.115,204566249432.191,205981787449.727,191181790378.953,225915677398.223
Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,Uruguay,URY,28557805309.3993,28674373527.6344,28000672156.6108,26911687540.7162,24520153184.9838,23754384596.8876,24454201127.7192,25735747360.1606,27243100772.0696,29088193044.674,31741515227.3147,32587628312.3396,35380835797.0573,37757607199.2062,39666374799.3716,41829558957.8749,43045807531.0562,42974861783.4115,43162889667.2713,44522969550.4184,45514465381.3737,45802638694.1025,42609249212.5703,44077675341.9004
"Population, total",SP.POP.TOTL,Argentina,ARG,36233195,36653031,37070774,37480493,37885028,38278164,38668796,39070501,39476851,39876111,40273769,40684338,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747
"Population, total",SP.POP.TOTL,Brazil,BRA,171039804,173486281,175873720,178211881,180476685,182629278,184722043,186797334,188820682,190779453,192672317,194517549,196353492,198185302,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223
"Population, total",SP.POP.TOTL,Bolivia,BOL,8286928,8439052,8592656,8746084,8900583,9057378,9216279,9377388,9542663,9711152,9880593,10051317,10223270,10396246,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472
"Population, total",SP.POP.TOTL,Chile,CHL,14996742,15176410,15351799,15523978,15693790,15859112,16017966,16175311,16334575,16495538,16661462,16833447,17004162,17173573,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184
"Population, total",SP.POP.TOTL,Uruguay,URY,3262683,3278963,3292224,3300939,3306441,3310202,3313801,3317665,3322282,3328651,3336126,3344156,3352651,3361637,3371133,3381180,3391662,3402818,3413766,3422200,3427042,3428409,3429086,3426260
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,73.474,73.722,73.926,74.186,74.408,74.08,74.855,75.139,75.433,75.006,75.641,75.936,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,69.189,69.524,69.737,70.195,70.41,70.72,71.131,71.753,72.037,72.365,72.715,72.948,73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827,75.109,75.338,74.009,72.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,61.332,61.871,62.346,62.843,63.306,63.635,64.004,64.386,64.779,65.027,65.446,65.88,66.162,66.534,66.705,67.021,67.163,67.318,67.628,67.701,67.748,67.841,64.467,63.63
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,75.669,76.018,76.87,76.773,77.445,77.387,77.616,78.016,78.261,77.826,78.484,78.741,78.501,79.11,79.023,79.339,79.473,79.746,80.079,80.35,80.133,80.326,79.377,78.944
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uruguay,URY,74.527,74.769,75.025,75.285,75.54,75.785,76.007,76.194,76.362,76.498,76.623,76.738,76.858,76.983,77.111,77.24,77.366,77.483,77.571,77.625,77.611,77.508,78.43,75.436
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Argentina,ARG,7290657132.08156,23987696389.6428,10418314339.1428,2166136829.76399,2148910000,1652010000,4124710000,5265250000,5537347786.19331,6473157762.12915,9725553129.52469,4017158924.88408,11332718626.4345,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393,11516861462.2845,11716769818.7543,6649187837.98606,4722648813.09203,6782348887.21716
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Brazil,BRA,28855609916.42,28385675614.9902,32994718699.75,23225846372.251,16586600193.114,10123013670.9901,18161380459.7533,15459981604.1196,19418085598.0794,44579492463.6336,50716402711.4787,31480931700,82389932468.07,102427228231.42,92568388321.34,75211029129.4,87713983217.24,64738153494.44,74294627801.19,68885491315.23,78162724370.35,69174411753.43,37786286307.45,46439071565.28
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bolivia,BOL,949300000,1010500000,736350000,705756000,676543000,197400000,65430000,-238620000,280763457,366294241.538303,512335605.237139,423040000,621997989.548348,858941070.400943,1059965390.78481,1749612614.39791,656566350.80003,554643532.297183,335365530.426077,712474137.775022,302368781.37636,-216636843.1305,-1129487271.3377,583576424.725665
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Chile,CHL,4627817978,8761016217.84,4860015667.52,4199763048.85,2549923142.41108,4026497832.75699,6797252642.36959,7462207179.80944,7586190389.76648,13474760472.5025,18473102612.1039,13855126064.8962,16019683111.6555,25564944876.5765,31801970676.0608,21120756844.0181,25527831848.9546,17766285629.0926,11362832162.4891,5237183518.21249,7942631935.04886,13579090978.7599,9205260158.62042,15251537925.0518
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Uruguay,URY,164100000,235300000,262825000,310402928.186631,179852187.798716,402717369.251734,352712784.345572,826626704.297553,1508350268.54176,1358736505.93224,2141969341.14865,1602591812.77207,2191067966.51532,2690094196.66277,6394069821.71275,986930050.603523,4085227626.74537,2673041339.41286,-515650078.425119,2686509353.42749,1726550037.27185,1470035667.8335,517154407.200388,3649951500.50428
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
